Product code	Language	Product id	Category	List price	Price	Weight	Quantity	Min quantity	Shipping freight	Date added	Downloadable	Files	Ship downloadable	Inventory tracking	Free shipping	Feature comparison	Zero price action	Thumbnail	Detailed image	Product name	Description	Meta keywords	Meta description	Search words	Page title	Taxes	Features	Options	Secondary categories	Pay by points	Override points	Override exchange rate	SEO name	Short description	Status
"287"	"en"	"287"	"Products///RAIN COVERS///Colored Rain Covers///Maiz/Corn"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_s3s9-33.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN CORN FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-corn-finish"	""	"D"
"288"	"en"	"288"	"Products///RAIN COVERS///Colored Rain Covers///Mostaza/Mustard"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_k9w8-b5.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN MUSTARD FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-mustard-finish"	""	"D"
"289"	"en"	"289"	"Products///RAIN COVERS///Colored Rain Covers///Mostaza/Mustard"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_29eq-ub.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN MUSTARD FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-mustard-finish"	""	"D"
"290"	"en"	"290"	"Products///RAIN COVERS///Colored Rain Covers///Oro/Gold"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_4o5z-p3.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GOLD FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-gold-finish"	""	"D"
"291"	"en"	"291"	"Products///RAIN COVERS///Colored Rain Covers///Bronce/Bronze"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_7iax-uq.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN BRONZE FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-bronze-finish"	""	"D"
"292"	"en"	"292"	"Products///RAIN COVERS///Colored Rain Covers///Ocre/Ore"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_6utf-mv.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN ORE FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-ore-finish"	""	"D"
"293"	"en"	"293"	"Products///RAIN COVERS///Colored Rain Covers///Azafran/Saffron"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_46sh-9o.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN SAFFRON FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-saffron-finish"	""	"D"
"294"	"en"	"294"	"Products///RAIN COVERS///Colored Rain Covers///Cobre/Copper"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_dm35-za.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN COPPER FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-copper-finish"	""	"D"
"295"	"en"	"295"	"Products///RAIN COVERS///Colored Rain Covers///Teja/Rust"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_b1w1-q8.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN RUST FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-rust-finish"	""	"D"
"296"	"en"	"296"	"Products///RAIN COVERS///Colored Rain Covers///Terracota"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_hcep-q9.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN TERRACOTA FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-terracota-finish"	""	"D"
"297"	"en"	"297"	"Products///RAIN COVERS///Colored Rain Covers///Marron/Brown"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/RainCover_9m4c-48_7co8-3h.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN BROWN FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-brown-finish-298"	""	"D"
"298"	"en"	"298"	"Products///RAIN COVERS///Colored Rain Covers///Cafe/Coffee"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_v2s4-ju.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN COFFEE FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-coffee-finish"	""	"D"
"299"	"en"	"299"	"Products///RAIN COVERS///Colored Rain Covers///Limon"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_ppj7-qi.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN LIMON FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-limon-finish"	""	"D"
"300"	"en"	"300"	"Products///RAIN COVERS///Colored Rain Covers///Limon"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_a6v1-rs.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN LIMON FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-limon-finish"	""	"D"
"301"	"en"	"301"	"Products///RAIN COVERS///Colored Rain Covers///Amarillo/Yellow"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_fngx-vo.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN YELLOW FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-yellow-finish"	""	"D"
"302"	"en"	"302"	"Products///RAIN COVERS///Colored Rain Covers///Dallas"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_69gn-wr.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN DALLAS FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-dallas-finish"	""	"D"
"303"	"en"	"303"	"Products///RAIN COVERS///Colored Rain Covers///Melocoton/Peach"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_tln7-ii.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN PEACH FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-peach-finish"	""	"D"
"304"	"en"	"304"	"Products///RAIN COVERS///Colored Rain Covers///Mandarina/Tangerine"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_ejg6-86.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN TANGERINE FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-tangerine-finish"	""	"D"
"305"	"en"	"305"	"Products///RAIN COVERS///Colored Rain Covers///Naranja/Orange"	"909.00"	"749.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_8amc-tq.jpg#{[en]:;}"	"RAIN COVER FOR 3 PERSON INFRARED SAUNA IN ORANGE FINISH"	"<p>RAIN COVER FOR 3 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 3 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-3-person-infrared-sauna-in-orange-finish"	""	"D"
"306"	"en"	"306"	"Products///RAIN COVERS///Colored Rain Covers///Naranja/Orange"	"1079.00"	"909.00"	"0.00"	"100"	"0"	"0.00"	"10 Apr 2013 13:00:00"	"N"	""	"N"	"B"	"N"	"N"	"R"	""	"exim/backup/images/Green1_e0pu-s1_mum3-0e.jpg#{[en]:;}"	"RAIN COVER FOR 4 PERSON INFRARED SAUNA IN ORANGE FINISH"	"<p>RAIN COVER FOR 4 PERSON INFRARED SAUNA IN GREEN FINISH</p>"	"RAIN COVER, 4 PERSON,GREEN FINISH"	""	""	""	""	""	""	""	"N"	"N"	"N"	"rain-cover-for-4-person-infrared-sauna-in-orange-finish"	""	"D"
